"filename", "language", "XML", "C#", "JSON", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Commands\Login.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Commands\Register.cs", "C#", 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\AuthDto.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\LearningTopicsPostDto.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\ProgrammingTaskPostDto.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\ShippingInformationPostDto.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\ShoppingCartItemPostDto.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\SubTopicPostDto.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoPost\SubmissionPostDto.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoUpdate\SubTopicUpdateDto.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoUpdate\UserAvatarDto.cs", "C#", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoUpdate\UserPasswordDto.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\DtoUpdate\UserUpdateDto.cs", "C#", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ErrorDto.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\LearningTopicsDto.cs", "C#", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\OrderDto.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\OrderItemDto.cs", "C#", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ProductDto.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ProgrammingTaskDto.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ShoppingCartDto.cs", "C#", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\ShoppingCartItemDto.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\SubTopicDto.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\SubmissionDto.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\SubmissionUserDto.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Dto\UserDto.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IHashServ.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IJwtServ.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\ILearningTopicsRep.cs", "C#", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IOrderItemRep.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming\LearnProgramming.Core\Interfaces\IOrderRep.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
