Date : 2023-03-20 21:18:00
Directory : c:\Users\User\Desktop\KTU_BAKALAURAS\BAKALAURAS\LearnProgramming
Total : 176 files,  63813 codes, 4315 comments, 16240 blanks, all 84368 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| CSS           |         18 |     34,835 |        138 |      8,137 |     43,110 |
| JavaScript    |         15 |     20,754 |      4,153 |      5,987 |     30,894 |
| C#            |        128 |      7,894 |         24 |      2,076 |      9,994 |
| XML           |          4 |        163 |          0 |         20 |        183 |
| ASP.NET Razor |          7 |         95 |          0 |         14 |        109 |
| JSON          |          3 |         54 |          0 |          1 |         55 |
| Markdown      |          1 |         18 |          0 |          5 |         23 |
+---------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                        |        176 |     63,813 |      4,315 |     16,240 |     84,368 |
| LearnProgramming                                                                                                                                                         |         58 |     56,656 |      4,294 |     14,355 |     75,305 |
| LearnProgramming (Files)                                                                                                                                                 |          4 |        178 |          3 |         20 |        201 |
| LearnProgramming.Core                                                                                                                                                    |         38 |        615 |          0 |         86 |        701 |
| LearnProgramming.Core (Files)                                                                                                                                            |          1 |         39 |          0 |          5 |         44 |
| LearnProgramming.Core\Commands                                                                                                                                           |          2 |         42 |          0 |          2 |         44 |
| LearnProgramming.Core\Dto                                                                                                                                                |         23 |        339 |          0 |         52 |        391 |
| LearnProgramming.Core\Dto (Files)                                                                                                                                        |         13 |        196 |          0 |         30 |        226 |
| LearnProgramming.Core\Dto\DtoPost                                                                                                                                        |          6 |         89 |          0 |         14 |        103 |
| LearnProgramming.Core\Dto\DtoUpdate                                                                                                                                      |          4 |         54 |          0 |          8 |         62 |
| LearnProgramming.Core\Interfaces                                                                                                                                         |         12 |        195 |          0 |         27 |        222 |
| LearnProgramming.Domain                                                                                                                                                  |         15 |        278 |          1 |         32 |        311 |
| LearnProgramming.Domain (Files)                                                                                                                                          |          1 |         36 |          0 |          4 |         40 |
| LearnProgramming.Domain\Entities                                                                                                                                         |         11 |        199 |          1 |         22 |        222 |
| LearnProgramming.Domain\Enums                                                                                                                                            |          3 |         43 |          0 |          6 |         49 |
| LearnProgramming.Infrastructure                                                                                                                                          |         65 |      6,264 |         20 |      1,767 |      8,051 |
| LearnProgramming.Infrastructure (Files)                                                                                                                                  |          1 |         45 |          0 |          6 |         51 |
| LearnProgramming.Infrastructure\AutoMapper                                                                                                                               |         10 |        194 |          0 |         22 |        216 |
| LearnProgramming.Infrastructure\Database                                                                                                                                 |          2 |         50 |          0 |          5 |         55 |
| LearnProgramming.Infrastructure\Migrations                                                                                                                               |         39 |      5,422 |         20 |      1,609 |      7,051 |
| LearnProgramming.Infrastructure\Repositories                                                                                                                             |         10 |        465 |          0 |        108 |        573 |
| LearnProgramming.Infrastructure\Services                                                                                                                                 |          2 |         74 |          0 |         15 |         89 |
| LearnProgramming.Infrastructure\Settings                                                                                                                                 |          1 |         14 |          0 |          2 |         16 |
| LearnProgramming\Controllers                                                                                                                                             |          9 |        693 |          0 |        180 |        873 |
| LearnProgramming\Pages                                                                                                                                                   |         11 |        187 |          2 |         35 |        224 |
| LearnProgramming\Pages (Files)                                                                                                                                           |          8 |         99 |          0 |         22 |        121 |
| LearnProgramming\Pages\Shared                                                                                                                                            |          3 |         88 |          2 |         13 |        103 |
| LearnProgramming\Properties                                                                                                                                              |          1 |         29 |          0 |          0 |         29 |
| LearnProgramming\wwwroot                                                                                                                                                 |         33 |     55,569 |      4,289 |     14,120 |     73,978 |
| LearnProgramming\wwwroot\css                                                                                                                                             |          1 |         15 |          0 |          3 |         18 |
| LearnProgramming\wwwroot\js                                                                                                                                              |          1 |          0 |          3 |          2 |          5 |
| LearnProgramming\wwwroot\lib                                                                                                                                             |         31 |     55,554 |      4,286 |     14,115 |     73,955 |
| LearnProgramming\wwwroot\lib\bootstrap                                                                                                                                   |         22 |     46,506 |      1,734 |     11,610 |     59,850 |
